transmission,model,Year of Manufacture,City,Fuel Type,bt,Ownership,Kms Driven,Engine Type
Manual,Honda WR-V,2018.0,Chennai,Petrol,SUV,First Owner,30742.0,i-VTEC Petrol Engine
Manual,Maruti S-Presso,2022.0,Chennai,Petrol,Hatchback,First Owner,10363.0,K10C
Manual,Honda City,2015.0,Chennai,Petrol,Sedan,First Owner,100000.0,i VTEC Engine
Manual,Honda City,2016.0,Chennai,Petrol,Sedan,First Owner,75555.0,i VTEC Engine
Manual,Hyundai Creta,2018.0,Chennai,Petrol,SUV,Second Owner,60929.0,VTVT Petrol Engine
Automatic,BMW X5,2009.0,Chennai,Diesel,SUV,Second Owner,78000.0,xDrive30d Diesel Engine
Manual,Maruti Vitara Brezza,2017.0,Chennai,Diesel,SUV,First Owner,120000.0,DDiS 200 Diesel Engine
Manual,Honda Amaze,2014.0,Chennai,Diesel,Sedan,First Owner,143185.0,i-DTEC Diesel Engine
Manual,Maruti Ciaz,2017.0,Chennai,Petrol,Sedan,First Owner,115434.0,k14B VVT Engine
Manual,Maruti Ignis,2018.0,Chennai,Petrol,Hatchback,First Owner,43000.0,VVT
Manual,Honda Brio,2015.0,Chennai,Petrol,Hatchback,First Owner,63309.0,i-VTEC Engine
Manual,Maruti Swift,2015.0,Chennai,Diesel,Hatchback,First Owner,150000.0,DDiS Diesel Engine
Automatic,BMW 7 Series,2019.0,Chennai,Diesel,Sedan,First Owner,53000.0,Diesel Engine
Manual,Maruti Baleno,2019.0,Chennai,Petrol,Hatchback,First Owner,39386.0,1.2L VVT Engine
Automatic,BMW 6 Series,2018.0,Chennai,Diesel,Sedan,First Owner,42000.0,Diesel Engine
Automatic,Renault Triber,2021.0,Chennai,Petrol,MUV,First Owner,29257.0,
Automatic,Maruti Baleno,2017.0,Chennai,Petrol,Hatchback,First Owner,61829.0,VVT Petrol Engine
Manual,Maruti Alto K10,2014.0,Chennai,Petrol,Hatchback,First Owner,83901.0,K Series Petrol Engine
Manual,Maruti Celerio,2014.0,Chennai,Petrol,Hatchback,First Owner,33295.0,K10C
Manual,Maruti Celerio,2015.0,Chennai,Petrol,Hatchback,First Owner,33610.0,K10C
Manual,Maruti Ciaz,2014.0,Chennai,Diesel,Sedan,First Owner,95600.0,DDIS 200 Engine
Manual,Tata Tiago,2018.0,Chennai,Petrol,Hatchback,First Owner,20960.0,Revotron Engine
Automatic,BMW 3 Series,2016.0,Chennai,Diesel,Sedan,First Owner,66000.0,TwinPower Turbo 4 Cylinder Engine
Manual,Hyundai i20,2015.0,Chennai,Petrol,Hatchback,Second Owner,85105.0,Kappa VTVT Petrol Engine
Manual,Hyundai EON,2016.0,Chennai,Petrol,Hatchback,Second Owner,44519.0,Petrol Engine
Manual,Maruti Baleno,2017.0,Chennai,Petrol,Hatchback,First Owner,54024.0,VVT Petrol Engine
Manual,Maruti Baleno,2020.0,Chennai,Petrol,Hatchback,First Owner,20027.0,1.2L VVT Engine
Automatic,Audi A6,2019.0,Chennai,Diesel,Sedan,First Owner,44000.0,In Line Diesel Engine
Automatic,Audi Q3,2014.0,Chennai,Diesel,SUV,First Owner,58000.0,TDI Diesel Engine
Manual,Honda Amaze,2013.0,Chennai,Diesel,Sedan,First Owner,67905.0,i-DTEC Diesel Engine
Manual,Maruti Baleno,2017.0,Chennai,Petrol,Hatchback,First Owner,62604.0,1.2L VVT Engine
Manual,Toyota Innova,2009.0,Chennai,Diesel,MUV,First Owner,120000.0,In-Line Engine
Manual,Honda Amaze,2014.0,Chennai,Diesel,Sedan,First Owner,105781.0,i-DTEC Diesel Engine
Manual,Maruti Ciaz,2017.0,Chennai,Petrol,Sedan,First Owner,68724.0,k14B VVT Engine
Automatic,Maruti Celerio,2014.0,Chennai,Petrol,Hatchback,First Owner,67000.0,K10B Engine
Manual,Hyundai i10,2010.0,Chennai,Petrol,Hatchback,Second Owner,110273.0,DOHC Engine
Automatic,Maruti Celerio,2016.0,Chennai,Petrol,Hatchback,Second Owner,65628.0,K10B Engine
Manual,Volkswagen Polo,2014.0,Chennai,Petrol,Hatchback,First Owner,106075.0,MPI Petrol Engine
Manual,Maruti Ignis,2022.0,Chennai,Petrol,Hatchback,First Owner,6023.0,VVT
Manual,Tata Tiago,2018.0,Chennai,Petrol,Hatchback,Second Owner,38999.0,Revotron Engine
Manual,Toyota Innova Crysta,2018.0,Chennai,Diesel,MUV,First Owner,105000.0,2-GD FTV Engine
Automatic,Tata New Safari,2022.0,Chennai,Diesel,SUV,First Owner,7811.0,Kryotec 2.0 L Turbocharged Engine
Manual,Maruti Alto K10,2011.0,Chennai,Petrol,Hatchback,Second Owner,58747.0,K Series Petrol Engine
Manual,Tata Harrier,2019.0,Chennai,Diesel,SUV,First Owner,34965.0,Kryotec 2.0LTurbocharged Engine
Manual,Ford Ecosport,2015.0,Chennai,Diesel,SUV,Second Owner,106360.0,TDCi Diesel Engine
Manual,Maruti Ritz,2010.0,Chennai,Petrol,Hatchback,Second Owner,162049.0,K Series Petrol Engine
Automatic,Mercedes-Benz GLE,2020.0,Chennai,Diesel,SUV,First Owner,30000.0,V Type Engine
Manual,Toyota Urban cruiser,2021.0,Chennai,Petrol,SUV,First Owner,26000.0,k-series1.5l
Automatic,Kia Seltos,2020.0,Chennai,Petrol,SUV,First Owner,25000.0,SMARTSTREAM G1.5
Automatic,Mercedes-Benz GLC,2021.0,Chennai,Diesel,SUV,First Owner,35000.0,OM 654 Diesel engine
Manual,Maruti Swift,2020.0,Chennai,Petrol,Hatchback,First Owner,57000.0,VTVT Engine
Manual,Hyundai Creta,2017.0,Chennai,Petrol,SUV,First Owner,49000.0,VTVT Petrol Engine
Manual,Hyundai i20,2022.0,Chennai,Petrol,Hatchback,First Owner,30000.0,1.2 l Kappa petrol
Manual,Hyundai Santro,2002.0,Chennai,Petrol,Hatchback,Third Owner,120000.0,
Automatic,Hyundai i10,2014.0,Chennai,Petrol,Hatchback,Third Owner,40000.0,DOHC Kappa2 Engine
Automatic,Honda Jazz,2015.0,Chennai,Petrol,Hatchback,First Owner,53250.0,i-VTEC Petrol Engine
Manual,Tata Tiago,2022.0,Chennai,Petrol,Hatchback,First Owner,8848.0,1.2 L Revotron
Automatic,Tata Harrier,2022.0,Chennai,Diesel,SUV,First Owner,3000.0,Kryotec 2.0 L Turbocharged Engine
Manual,Skoda Rapid,2021.0,Chennai,Petrol,Sedan,First Owner,34628.0,1.0L TSI Petrol
Manual,Maruti Ignis,2022.0,Chennai,Petrol,Hatchback,First Owner,8579.0,VVT
Manual,Renault Triber,2022.0,Chennai,Petrol,MUV,First Owner,17000.0,
Manual,Honda City,2017.0,Chennai,Petrol,Sedan,First Owner,40021.0,i VTEC Engine
Automatic,Mercedes-Benz GLS,2021.0,Chennai,Diesel,SUV,First Owner,52000.0,3.0-litre diesel
Manual,Hyundai i20,2017.0,Chennai,Petrol,Hatchback,Second Owner,46946.0,Kappa VTVT Petrol Engine
Automatic,Honda Jazz,2019.0,Chennai,Petrol,Hatchback,First Owner,30772.0,i-VTEC Petrol Engine
Manual,Ford Figo,2012.0,Chennai,Diesel,Hatchback,First Owner,74008.0,Diesel Engine
Manual,Maruti Swift Dzire,2017.0,Chennai,Diesel,Sedan,First Owner,31000.0,DDiS Diesel Engine
Manual,Mahindra Bolero,2022.0,Chennai,Diesel,SUV,First Owner,20000.0,mHAWK 75 BSVI
Manual,Maruti Baleno,2020.0,Chennai,Petrol,Hatchback,Second Owner,20000.0,1.2L VVT Engine
Automatic,Maruti S-Presso,2020.0,Chennai,Petrol,Hatchback,First Owner,31137.0,K10B
Manual,Maruti Swift Dzire,2011.0,Chennai,Diesel,Sedan,First Owner,90000.0,In-Line Engine
Manual,Hyundai Creta,2015.0,Chennai,Petrol,SUV,First Owner,77000.0,VTVT Petrol Engine
Automatic,BMW 3 Series GT,2019.0,Chennai,Diesel,Sedan,First Owner,16000.0,TwinPower Turbo 4-Cylinder Diesel Engine
Automatic,Mahindra XUV500,2018.0,Chennai,Diesel,SUV,First Owner,23000.0,mHawk Diesel Engine
Manual,Mahindra Thar,2022.0,Chennai,Petrol,SUV,First Owner,9000.0,mStallion 150 TGDi Engine
Manual,Datsun RediGO,2018.0,Chennai,Petrol,Hatchback,First Owner,28733.0,0.8L Petrol Engine
Automatic,Hyundai Verna,2018.0,Chennai,Diesel,Sedan,First Owner,61828.0,U2 VGT Diesel Engine
Manual,Toyota Innova,2007.0,Chennai,Diesel,MUV,Second Owner,150000.0,In-Line Engine
Manual,Tata Tigor,2022.0,Chennai,Petrol,Sedan,First Owner,60431.0,1.2L Revotron Engine
Manual,Maruti Celerio X,2018.0,Chennai,Petrol,Hatchback,First Owner,53269.0,K10B Petrol Engine
Automatic,MG Hector,2021.0,Chennai,Petrol,SUV,First Owner,38000.0,1.5 L Turbocharged Intercooled
Manual,Honda Amaze,2019.0,Chennai,Petrol,Sedan,Second Owner,37778.0,i-VTEC Petrol Engine
Manual,Maruti Baleno,2017.0,Chennai,Petrol,Hatchback,First Owner,54024.0,VVT Petrol Engine
Manual,Tata Nexon,2018.0,Chennai,Petrol,SUV,Second Owner,85941.0,Revotron 1.2L Turbocharged engine
Automatic,Maruti Celerio X,2018.0,Chennai,Petrol,Hatchback,First Owner,89329.0,K10B Petrol Engine
Manual,Tata Tiago,2019.0,Chennai,Petrol,Hatchback,Second Owner,40000.0,Revotron Engine
Manual,Maruti Swift,2017.0,Chennai,Petrol,Hatchback,First Owner,17000.0,VTVT Engine
Manual,Maruti Ignis,2017.0,Chennai,Petrol,Hatchback,First Owner,83887.0,1.2-Litre VVT Petrol Engine
Manual,Hyundai i20 Active,2015.0,Chennai,Diesel,Hatchback,First Owner,150000.0,U2 CRDI Diesel Engine
Automatic,Toyota Innova Crysta,2021.0,Chennai,Diesel,MUV,First Owner,39000.0,2.4L Diesel Engine
Automatic,Hyundai Verna,2018.0,Chennai,Petrol,Sedan,First Owner,23000.0,VTVT Petrol Engine
Manual,Hyundai Verna,2017.0,Chennai,Petrol,Sedan,First Owner,80000.0,VTVT Petrol Engine
Automatic,Maruti Celerio,2016.0,Chennai,Petrol,Hatchback,First Owner,34000.0,K10B Engine
Manual,Maruti Celerio,2017.0,Chennai,Petrol,Hatchback,First Owner,29973.0,K10B Engine
Manual,Honda City,2021.0,Chennai,Petrol,Sedan,First Owner,30000.0,Water Cooled Inline i-VTEC DOHC with VTC
Manual,Hyundai i20 Active,2016.0,Chennai,Diesel,Hatchback,Second Owner,80805.0,U2 CRDI Diesel Engine
Manual,Tata Tiago,2020.0,Chennai,Petrol,Hatchback,First Owner,26235.0,Revotron Engine
Manual,Honda City,2017.0,Chennai,Petrol,Sedan,,95963.0,i VTEC Engine
Manual,Hyundai Creta,2018.0,Chennai,Petrol,SUV,First Owner,83294.0,VTVT Petrol Engine
Manual,MG Hector,2021.0,Chennai,Diesel,SUV,Second Owner,17963.0,
Manual,Maruti Baleno,2019.0,Chennai,Petrol,Hatchback,First Owner,102696.0,VVT Petrol Engine
Manual,Hyundai i20,2019.0,Chennai,Diesel,Hatchback,Second Owner,57206.0,U2 CRDI Diesel Engine
Manual,Ford Figo,2013.0,Chennai,Diesel,Hatchback,Second Owner,120000.0,Duratorq Diesel Engine
Manual,Hyundai i20,2017.0,Chennai,Petrol,Hatchback,First Owner,81829.0,Kappa VTVT Petrol Engine
Manual,Maruti Celerio,2014.0,Chennai,Petrol,Hatchback,Second Owner,54395.0,K10C
Manual,Tata Tigor,2019.0,Chennai,Diesel,Sedan,First Owner,50000.0,Revotorq Engine
Manual,Volkswagen Ameo,2017.0,Chennai,Petrol,Sedan,Second Owner,70000.0,MPI Petrol Engine
Manual,Hyundai i20,2015.0,Chennai,Petrol,Hatchback,First Owner,36000.0,Kappa VTVT Petrol Engine
Manual,Isuzu MU 7,2016.0,Chennai,Diesel,SUV,Second Owner,125000.0,VGS Turbo Diesel Engine 
Automatic,Mercedes-Benz CLA,2018.0,Chennai,Diesel,Sedan,Second Owner,75000.0,In Line Diesel Engine
Automatic,Mercedes-Benz E-Class,2018.0,Chennai,Diesel,Sedan,First Owner,45007.0,In-Line 4 Cylinder diesel Engine
Manual,Honda Amaze,2016.0,Chennai,Petrol,Sedan,First Owner,49617.0,i-VTEC Petrol Engine
Manual,Toyota Etios,2016.0,Chennai,Petrol,Sedan,First Owner,57782.0,Petrol Engine
Automatic,Skoda Superb,2015.0,Chennai,Diesel,Sedan,First Owner,38000.0,Diesel Engine
Automatic,BMW 5 Series,2008.0,Chennai,Diesel,Sedan,Third Owner,110000.0,In-Line Engine
Manual,Honda Jazz,2018.0,Chennai,Petrol,Hatchback,Second Owner,22066.0,i-VTEC Petrol Engine
Manual,Hyundai i20,2016.0,Chennai,Petrol,Hatchback,First Owner,65707.0,Kappa VTVT Petrol Engine
Manual,Maruti Celerio,2015.0,Chennai,Petrol,Hatchback,First Owner,89488.0,K10B Engine
Automatic,Maruti Ignis,2017.0,Chennai,Petrol,Hatchback,Second Owner,88663.0,1.2-Litre VVT Petrol Engine
Manual,Tata Tiago,2020.0,Chennai,Petrol,Hatchback,First Owner,31679.0,Revotron Engine
Manual,Hyundai Grand i10,2013.0,Chennai,Petrol,Hatchback,First Owner,68178.0,Kappa VTVT Petrol Engine
Manual,Honda City,2017.0,Chennai,Petrol,Sedan,Second Owner,61279.0,i VTEC Engine
Manual,Honda Amaze,2021.0,Chennai,Petrol,Sedan,First Owner,8963.0,i-VTEC Petrol Engine
Manual,Maruti Swift Dzire,2017.0,Chennai,Petrol,Sedan,First Owner,80281.0,K Series VVT Engine
Manual,MG Hector,2020.0,Chennai,Petrol,SUV,First Owner,50580.0,
Automatic,Mini Cooper,2014.0,Chennai,Petrol,Hatchback,First Owner,21000.0,Petrol Engine
Automatic,Audi Q3,2016.0,Chennai,Diesel,SUV,First Owner,55000.0,TDI Quattro Diesel Engine
Automatic,Mercedes-Benz GLE,2018.0,Chennai,Diesel,SUV,Second Owner,70000.0,In Line Engine
Automatic,Audi Q5,2019.0,Chennai,Petrol,SUV,First Owner,58000.0,TFSI Quattro Engine
Manual,Volkswagen Vento,2018.0,Chennai,Petrol,Sedan,First Owner,65224.0,MPI Petrol Engine
Manual,Maruti Ritz,2010.0,Chennai,Petrol,Hatchback,First Owner,120000.0,K Series Petrol Engine 
Automatic,BMW X5,2018.0,Chennai,Diesel,SUV,First Owner,42001.0,Diesel Engine
Manual,Maruti Swift Dzire,2017.0,Chennai,Petrol,Sedan,First Owner,30316.0,K Series VVT Engine
Automatic,Mercedes-Benz E-Class,2013.0,Chennai,Diesel,Sedan,Third Owner,64000.0,In-Line Diesel Engine
Automatic,Volvo S60,2015.0,Chennai,Diesel,Sedan,First Owner,40000.0,Turbo Diesel Engine
Manual,Maruti Swift,2017.0,Chennai,Petrol,Hatchback,First Owner,100526.0,K Series Dual jet
Manual,Maruti Swift,2021.0,Chennai,Petrol,Hatchback,First Owner,17273.0,K Series Dual jet
Manual,Maruti SX4 S Cross,2018.0,Chennai,Diesel,SUV,First Owner,107737.0,DDiS 200 Diesel Engine
Manual,Ford Ecosport,2016.0,Chennai,Petrol,SUV,Second Owner,111586.0,Ti-VCT Petrol Engine
Automatic,Maruti Baleno,2017.0,Chennai,Petrol,Hatchback,Second Owner,73369.0,VVT Petrol Engine
Manual,Maruti Alto,2012.0,Chennai,Petrol,Hatchback,First Owner,63697.0,In-Line Engine
Manual,Hyundai i20,2018.0,Chennai,Petrol,Hatchback,First Owner,45224.0,Kappa VTVT Petrol Engine
Manual,Ford Figo,2010.0,Chennai,Diesel,Hatchback,Second Owner,110701.0,Diesel Engine
Manual,Maruti Wagon R,2016.0,Chennai,Petrol,Hatchback,Second Owner,49124.0,K10B Petrol Engine
Manual,Maruti Swift Dzire,2016.0,Chennai,Petrol,Sedan,First Owner,96861.0,
Manual,Hyundai i10,2009.0,Chennai,Petrol,Hatchback,Second Owner,64636.0,DOHC Engine
Automatic,Audi A6,2014.0,Chennai,Diesel,Sedan,First Owner,134000.0,TDI Diesel Engine 
Manual,Maruti 800,2002.0,Chennai,Petrol,Hatchback,First Owner,20000.0,Hi-Tech Petrol Engine
Automatic,Renault Kiger,2022.0,Chennai,Petrol,SUV,First Owner,14118.0,1.0L energy
Automatic,Jeep Meridian,2023.0,Chennai,Diesel,SUV,First Owner,1200.0,2.0 L Multijet Diesel
Automatic,Ford Ecosport,2018.0,Chennai,Petrol,SUV,Second Owner,36000.0,Ti-VCT Petrol Engine
Automatic,Skoda Kushaq,2022.0,Chennai,Petrol,SUV,First Owner,10000.0,1.0 TSI Petrol Engine
Manual,Kia Seltos,2019.0,Chennai,Petrol,SUV,First Owner,50000.0,SMARTSTREAM G1.5
Manual,Toyota Urban cruiser,2021.0,Chennai,Petrol,SUV,First Owner,30000.0,k-series1.5l
Automatic,Skoda Rapid,2018.0,Chennai,Petrol,Sedan,First Owner,29000.0,Petrol Engine
Manual,Hyundai i20,2014.0,Chennai,Petrol,Hatchback,Second Owner,55940.0,Kappa VTVT Petrol Engine
Manual,Honda City,2018.0,Chennai,Diesel,Sedan,Second Owner,115915.0,i DTEC Diesel Engine
Automatic,Renault KWID,2022.0,Chennai,Petrol,Hatchback,First Owner,1000.0,1.0 SCe
Automatic,Honda Jazz,2016.0,Chennai,Petrol,Hatchback,Second Owner,96184.0,i-VTEC Petrol Engine
Manual,Hyundai i10,2014.0,Chennai,Petrol,Hatchback,First Owner,87780.0,IRDE2 Engine
Manual,Hyundai i20,2015.0,Chennai,Petrol,Hatchback,First Owner,118921.0,Kappa VTVT Petrol Engine
Manual,Ford Ecosport,2019.0,Chennai,Diesel,SUV,Second Owner,73834.0,TDCi Diesel Engine
Automatic,Mahindra Thar,2022.0,Chennai,Diesel,SUV,First Owner,20000.0,mHawk 130 Engine
Manual,Maruti Baleno,2016.0,Chennai,Petrol,Hatchback,First Owner,38514.0,VVT Petrol Engine
Manual,Maruti Swift Dzire,2016.0,Chennai,Petrol,Sedan,Second Owner,74401.0,
Automatic,Hyundai Creta,2020.0,Chennai,Petrol,SUV,First Owner,40000.0,1.4 L Turbo GDi Petrol
Manual,Maruti Swift,2022.0,Chennai,Petrol,Hatchback,First Owner,9000.0,K Series Dual jet
Manual,Hyundai Creta,2017.0,Chennai,Petrol,SUV,First Owner,50000.0,VTVT Petrol Engine
Manual,Maruti Swift Dzire,2020.0,Chennai,Petrol,Sedan,First Owner,40000.0,
Automatic,Skoda Rapid,2015.0,Chennai,Diesel,Sedan,Third Owner,80000.0,Diesel Engine
Manual,Hyundai Grand i10,2014.0,Chennai,Petrol,Hatchback,Second Owner,82000.0,Kappa VTVT Petrol Engine
Automatic,Hyundai Aura,2020.0,Chennai,Petrol,Sedan,First Owner,32947.0,1.2 l Kappa dual petrol
Manual,Jeep Meridian,2022.0,Chennai,Diesel,SUV,First Owner,9000.0,2.0 L Multijet Diesel
Manual,Hyundai Verna,2018.0,Chennai,Petrol,Sedan,First Owner,25000.0,VTVT Petrol Engine
Manual,Maruti XL6,2022.0,Chennai,Petrol,MUV,First Owner,10000.0,K15B Smart Hybrid
Manual,Skoda Slavia,2022.0,Chennai,Petrol,Sedan,First Owner,8413.0,1.5 L TSI Petrol
Manual,Hyundai i20,2016.0,Chennai,Petrol,Hatchback,First Owner,34460.0,Kappa VTVT Petrol Engine
Manual,Maruti Swift Dzire,2010.0,Chennai,Petrol,Sedan,First Owner,33886.0,In-Line Engine
Manual,Hyundai i20 Active,2016.0,Chennai,Petrol,Hatchback,Second Owner,57910.0,VTVT Petrol Engine
Manual,Renault Triber,2020.0,Chennai,Petrol,MUV,Second Owner,46233.0,
Automatic,Honda City,2017.0,Chennai,Petrol,Sedan,First Owner,60000.0,Water Cooled Inline i-VTEC DOHC with VTC
Manual,Maruti Swift,2021.0,Chennai,Petrol,Hatchback,First Owner,48979.0,K Series Dual jet
Automatic,MG Hector,2019.0,Chennai,Petrol,SUV,First Owner,42000.0,
Manual,Ford Ecosport,2016.0,Chennai,Diesel,SUV,First Owner,106165.0,TDCi Diesel Engine
Manual,Datsun RediGO,2018.0,Chennai,Petrol,Hatchback,First Owner,91261.0,0.8L Petrol Engine
Manual,Maruti Celerio,2018.0,Chennai,Petrol,Hatchback,First Owner,36711.0,K10B Engine
Automatic,BMW 3 Series Gran Limousine,2021.0,Chennai,Petrol,Sedan,First Owner,9000.0,2.0L Turbo Petrol
Manual,Maruti Baleno,2018.0,Chennai,Petrol,Hatchback,,30428.0,VVT Petrol Engine
Manual,Renault KWID,2018.0,Chennai,Petrol,Hatchback,First Owner,49791.0,Petrol Engine
Manual,MG Hector Plus,2021.0,Chennai,Diesel,SUV,First Owner,40000.0,2.0L Turbocharged Diesel
Manual,Hyundai Xcent,2014.0,Chennai,Petrol,Sedan,Second Owner,40000.0,Kappa VTVT Petrol Engine
Automatic,Maruti Baleno,2018.0,Chennai,Petrol,Hatchback,Second Owner,50000.0,VVT Petrol Engine
Manual,Maruti Vitara Brezza,2019.0,Chennai,Diesel,SUV,First Owner,60000.0,DDiS 200 Diesel Engine
Manual,Volkswagen Ameo,2017.0,Chennai,Petrol,Sedan,First Owner,60000.0,MPI Petrol Engine
Automatic,Ford Endeavour,2017.0,Chennai,Diesel,SUV,First Owner,70000.0,Diesel Engine
Manual,Maruti Wagon R,2014.0,Chennai,Petrol,Hatchback,Second Owner,107158.0,K10B Petrol Engine
Manual,Hyundai Grand i10,2019.0,Chennai,Petrol,Hatchback,First Owner,90811.0,Kappa VTVT Petrol Engine
Manual,Ford Figo,2012.0,Chennai,Petrol,Hatchback,Third Owner,76454.0,Petrol Engine
Manual,Maruti Swift,2021.0,Chennai,Petrol,Hatchback,First Owner,57464.0,K Series Dual jet
Manual,Honda Amaze,2019.0,Chennai,Petrol,Sedan,First Owner,95072.0,i-VTEC Petrol Engine
Automatic,Honda City,2014.0,Chennai,Petrol,Sedan,First Owner,51789.0,i VTEC Engine
Manual,Hyundai i20,2018.0,Chennai,Petrol,Hatchback,Second Owner,56028.0,Kappa VTVT Petrol Engine
Manual,Honda City,2017.0,Chennai,Petrol,Sedan,First Owner,60000.0,i VTEC Engine
Manual,Hyundai Grand i10 Nios,2020.0,Chennai,Petrol,Hatchback,First Owner,36460.0,1.2 Kappa petrol
Manual,Honda Amaze,2020.0,Chennai,Petrol,Sedan,First Owner,103249.0,i-VTEC Petrol Engine
Manual,Honda City,2021.0,Chennai,Petrol,Sedan,First Owner,45568.0,Water Cooled Inline i-VTEC DOHC with VTC
Automatic,Ford Endeavour,2017.0,Chennai,Diesel,SUV,First Owner,130000.0,Diesel Engine
Manual,MG Hector Plus,2021.0,Chennai,Diesel,SUV,First Owner,60000.0,2.0L Turbocharged Diesel
Manual,Skoda Rapid,2013.0,Chennai,Diesel,Sedan,First Owner,100521.0,Turbocharged Diesel Engin
Manual,Volkswagen Ameo,2019.0,Chennai,Petrol,Sedan,First Owner,42709.0,MPI Petrol Engine
Manual,Mahindra TUV 300,2016.0,Chennai,Diesel,SUV,Second Owner,150000.0,mHawk 100 Diesel Engine
Manual,Honda City,2015.0,Chennai,Petrol,Sedan,First Owner,100000.0,i VTEC Engine
Manual,Volkswagen Jetta,2009.0,Chennai,Diesel,Sedan,Third Owner,120000.0,In-Line Engine
Automatic,Hyundai Elantra,2018.0,Chennai,Petrol,Sedan,First Owner,30000.0,Nu 2.0 MPi Petrol Engine
Automatic,BMW 3 Series,2016.0,Chennai,Diesel,Sedan,First Owner,70000.0,TwinPower Turbo 4 Cylinder Engine
Manual,Hyundai Grand i10,2014.0,Chennai,Petrol,Hatchback,First Owner,104279.0, Kappa VTVT Petrol Engine
Manual,Hyundai i20 Active,2018.0,Chennai,Petrol,Hatchback,First Owner,73321.0,VTVT Petrol Engine
Manual,Hyundai Verna,2017.0,Chennai,Petrol,Sedan,First Owner,50000.0,VTVT Petrol Engine
Manual,Hyundai Santro,2018.0,Chennai,Petrol,Hatchback,First Owner,34279.0,1.1 litre Petrol Engine
Manual,Hyundai i20,2016.0,Chennai,Petrol,Hatchback,Second Owner,55040.0,Kappa VTVT Petrol Engine
Automatic,Hyundai Verna,2018.0,Chennai,Diesel,Sedan,Second Owner,39000.0,U2 VGT Diesel Engine
Manual,Hyundai i20,2014.0,Chennai,Diesel,Hatchback,Second Owner,104336.0,U2 CRDI Diesel Engine
Automatic,Volvo S90,2019.0,Chennai,Diesel,Sedan,Third Owner,45000.0,D4 Diesel Engine
Manual,Honda City,2020.0,Chennai,Petrol,Sedan,First Owner,69617.0,Water Cooled Inline i-VTEC DOHC with VTC
Manual,Hyundai i20,2016.0,Chennai,Petrol,Hatchback,First Owner,47429.0,Kappa VTVT Petrol Engine
Manual,Maruti Swift,2015.0,Chennai,Petrol,Hatchback,First Owner,67000.0,VTVT Engine
Manual,Volkswagen Polo,2016.0,Chennai,Petrol,Hatchback,First Owner,80000.0,MPI Petrol Engine
Manual,Volkswagen Polo,2018.0,Chennai,Petrol,Hatchback,First Owner,27000.0,MPI Petrol Engine
Manual,Ford Ecosport,2016.0,Chennai,Diesel,SUV,Second Owner,56000.0,TDCi Diesel Engine
Manual,Honda Amaze,2018.0,Chennai,Petrol,Sedan,First Owner,33379.0,i-VTEC Petrol Engine
Manual,Maruti Ciaz,2017.0,Chennai,Diesel,Sedan,First Owner,80000.0,DDIS 200 Engine
Manual,Hyundai Xcent,2016.0,Chennai,Petrol,Sedan,First Owner,90000.0,Kappa VTVT Petrol Engine
Manual,Hyundai Xcent,2015.0,Chennai,Petrol,Sedan,First Owner,50197.0,Kappa VTVT Petrol Engine
Manual,Hyundai Accent,2012.0,Chennai,Petrol,Sedan,Second Owner,80000.0,Petrol Engine
Manual,Honda Jazz,2016.0,Chennai,Petrol,Hatchback,,60611.0,i-VTEC Petrol Engine
Manual,Ford Ecosport,2017.0,Chennai,Petrol,SUV,Third Owner,61120.0,Ti-VCT Petrol Engine
Manual,Renault KWID,2019.0,Chennai,Petrol,Hatchback,First Owner,55415.0,Petrol Engine
Automatic,Jaguar F-Pace,2018.0,Chennai,Diesel,SUV,First Owner,52000.0,Diesel Engine
Manual,Honda Jazz,2015.0,Chennai,Petrol,Hatchback,First Owner,48579.0,i-VTEC Petrol Engine
Manual,Hyundai Xcent,2016.0,Chennai,Petrol,Sedan,Second Owner,59532.0,Kappa VTVT Petrol Engine
Manual,Honda City,2014.0,Chennai,Petrol,Sedan,Second Owner,200300.0,In-Line Engine
Manual,Volkswagen Jetta,2014.0,Chennai,Petrol,Sedan,First Owner,113231.0,Petrol Engine
Manual,Mahindra TUV 300,2018.0,Chennai,Diesel,SUV,Second Owner,106338.0,mHawk 100 Diesel Engine
Manual,Tata Altroz,2021.0,Chennai,Diesel,Hatchback,First Owner,40629.0,1.5 l Turbocharged Revotorq
Automatic,Maruti Swift Dzire,2016.0,Chennai,Diesel,Sedan,Second Owner,73341.0,DDiS Diesel Engine
Automatic,BMW 3 Series,2011.0,Chennai,Diesel,Sedan,Second Owner,39001.0,TwinPower Turbo 4 Cylinder Engine
Manual,Honda City,2014.0,Chennai,Petrol,Sedan,First Owner,81532.0,i VTEC Engine
Manual,Honda City,2015.0,Chennai,Petrol,Sedan,First Owner,108818.0,i-VTEC
Manual,Maruti Baleno,2017.0,Chennai,Petrol,Hatchback,First Owner,35419.0,1.2L VVT Engine
Automatic,Mercedes-Benz C-Class,2011.0,Chennai,Diesel,Sedan,Second Owner,80000.0,In-Line Engine
Manual,Renault Fluence,2014.0,Chennai,Diesel,Sedan,Second Owner,100000.0,dCi Diesel Engine
Automatic,Audi A4,2014.0,Chennai,Diesel,Sedan,First Owner,12000.0,TDI Diesel Engine
Manual,Hyundai Verna,2011.0,Chennai,Diesel,Sedan,First Owner,70001.0,Diesel Engine
