transmission,model,Year of Manufacture,City,Fuel Type,bt,Ownership,Kms Driven,Engine Type
Automatic,Mercedes-Benz GL-Class,2014.0,Bangalore,Diesel,SUV,Second Owner,100000.0,V-Type Diesel Engine
Automatic,Tata New Safari,2021.0,Bangalore,Diesel,SUV,First Owner,25000.0,Kryotec 2.0 L Turbocharged Engine
Manual,Hyundai Grand i10,2018.0,Bangalore,Petrol,Hatchback,First Owner,36735.0,Kappa VTVT Petrol Engine
Automatic,Audi Q7,2015.0,Bangalore,Diesel,SUV,First Owner,79000.0,V-Type Diesel Engine
Manual,Mahindra Scorpio,2010.0,Bangalore,Diesel,SUV,Second Owner,120000.0,mHawk CRDe Engine
Automatic,Renault KWID,2022.0,Bangalore,Petrol,Hatchback,First Owner,10000.0,Petrol Engine
Manual,Tata Nexon,2018.0,Bangalore,Diesel,SUV,First Owner,53645.0,"Revotorq, 1.5L Turbocharged engine"
Manual,Hyundai Getz,2006.0,Bangalore,Petrol,Hatchback,Second Owner,100000.0,In-Line Engine
Automatic,Maruti Celerio,2014.0,Bangalore,Petrol,Hatchback,First Owner,53982.0,K10C
Manual,Skoda Rapid,2014.0,Bangalore,Diesel,Sedan,First Owner,110000.0,Diesel Engine
Manual,Ford Ecosport,2019.0,Bangalore,Petrol,SUV,Second Owner,37741.0,Ti-VCT Petrol Engine
Manual,Maruti Alto 800,2021.0,Bangalore,Petrol,Hatchback,First Owner,17367.0,F8D Petrol Engine
Manual,Hyundai Creta,2017.0,Bangalore,Diesel,SUV,First Owner,94000.0,U2 CRDI VGT Engine
Automatic,Tata Harrier,2021.0,Bangalore,Diesel,SUV,First Owner,33700.0,Kryotec 2.0 L Turbocharged Engine
Manual,Maruti Swift,2014.0,Bangalore,Petrol,Hatchback,Third Owner,54601.0,K Series Dual jet
Manual,Maruti Swift,2018.0,Bangalore,Diesel,Hatchback,First Owner,110000.0,DDiS 190 Engine
Manual,Maruti Celerio,2017.0,Bangalore,Petrol,Hatchback,Second Owner,64000.0,K10B Engine
Automatic,BMW 3 Series GT,2016.0,Bangalore,Diesel,Sedan,First Owner,40525.0,TwinPower Turbo 4-Cylinder Diesel Engine
Manual,Maruti Ciaz,2015.0,Bangalore,Diesel,Sedan,First Owner,100000.0,DDIS 200 Engine
Automatic,Honda Jazz,2016.0,Bangalore,Petrol,Hatchback,Second Owner,44154.0,i-VTEC Petrol Engine
Manual,Renault Lodgy,2016.0,Bangalore,Diesel,MUV,First Owner,70000.0,dCI Engine
Automatic,Skoda Octavia,2018.0,Bangalore,Petrol,Sedan,First Owner,79000.0,1.8TSI Petrol Engine
Manual,Tata Tiago,2017.0,Bangalore,Petrol,Hatchback,Second Owner,68039.0,Revotron Engine
Manual,Maruti Ritz,2014.0,Bangalore,Petrol,Hatchback,Second Owner,60000.0,K Series Petrol Engine
Manual,Maruti Ritz,2014.0,Bangalore,Petrol,Hatchback,Second Owner,60000.0,K Series Petrol Engine
Manual,Hyundai i20,2021.0,Bangalore,Petrol,Hatchback,First Owner,10000.0,1.0 l Turbo GDi petrol
Manual,Honda City,2013.0,Bangalore,Petrol,Sedan,First Owner,49873.0,SOHC i-VTEC
Automatic,Volkswagen Polo,2013.0,Bangalore,Petrol,Hatchback,Third Owner,90000.0,TSi Petrol Engine 
Manual,Skoda Rapid,2017.0,Bangalore,Diesel,Sedan,Second Owner,48960.0,Diesel Engine
Manual,Hyundai Grand i10,2014.0,Bangalore,Diesel,Hatchback,Second Owner,70000.0,U2 CRDi  Diesel Engine
Manual,Hyundai i20,2013.0,Bangalore,Petrol,Hatchback,Second Owner,68000.0,Kappa VTVT Petrol Engine
Manual,Mahindra KUV 100,2016.0,Bangalore,Diesel,SUV,First Owner,23017.0,mFALCON D75 Engine
Manual,Hyundai i20,2013.0,Bangalore,Diesel,Hatchback,Second Owner,83000.0,U2 CRDI Diesel Engine
Automatic,BMW X3,2016.0,Bangalore,Diesel,SUV,Second Owner,92000.0,2.0l 4Cylinder twin turbo
Manual,Maruti Wagon R,2018.0,Bangalore,Petrol,Hatchback,First Owner,62139.0,K10B Petrol Engine
Manual,Hyundai i10,2013.0,Bangalore,LPG,Hatchback,First Owner,74000.0,IRDE2 Engine
Automatic,Renault KWID,2016.0,Bangalore,Petrol,Hatchback,Second Owner,26500.0,Petrol Engine
Automatic,Volvo S60,2017.0,Bangalore,Diesel,Sedan,First Owner,81716.0,Turbo Diesel Engine
Automatic,Mercedes-Benz E-Class,2018.0,Bangalore,Diesel,Sedan,Second Owner,24000.0,V6 Diesel Engine
Automatic,Mahindra XUV300,2022.0,Bangalore,Petrol,SUV,First Owner,10000.0,1.2L Turbo Petrol
Automatic,MG Hector Plus,2021.0,Bangalore,Petrol,SUV,First Owner,18000.0,1.5L Turbocharged Intercooled
Manual,Honda Brio,2013.0,Bangalore,Petrol,Hatchback,First Owner,38197.0,i-VTEC Engine
Automatic,Maruti Baleno,2017.0,Bangalore,Petrol,Hatchback,Second Owner,23000.0,1.2L VVT Engine
Manual,Maruti Alto K10,2013.0,Bangalore,Petrol,Hatchback,First Owner,50000.0,K Series Petrol Engine
Automatic,Renault Kiger,2022.0,Bangalore,Petrol,SUV,First Owner,10000.0,1.0L energy
Manual,Hyundai Grand i10,2019.0,Bangalore,Petrol,Hatchback,First Owner,19000.0,Kappa VTVT Petrol Engine
Automatic,Kia Seltos,2020.0,Bangalore,Petrol,SUV,First Owner,14000.0,Smartstream G1.4
Manual,Hyundai EON,2014.0,Bangalore,Petrol,Hatchback,First Owner,29268.0,Petrol Engine
Automatic,Volkswagen Vento,2019.0,Bangalore,Petrol,Sedan,First Owner,20000.0,TSI Petrol Engine
Manual,Toyota Yaris,2018.0,Bangalore,Petrol,Sedan,First Owner,30000.0,1.5 Dual VVT-i Engine
Automatic,Honda Jazz,2018.0,Bangalore,Petrol,Hatchback,First Owner,64374.0,i-VTEC Petrol Engine
Manual,MG Hector,2021.0,Bangalore,Diesel,SUV,First Owner,30000.0,
Automatic,Hyundai Alcazar,2022.0,Bangalore,Petrol,SUV,First Owner,7100.0,2.0 l petrol MPi engine
Manual,Hyundai i10,2010.0,Bangalore,Petrol,Hatchback,First Owner,43679.0,IRDE2 Engine
Automatic,Hyundai Creta,2018.0,Bangalore,Petrol,SUV,First Owner,40000.0,VTVT Petrol Engine
Manual,Hyundai i20,2012.0,Bangalore,Diesel,Hatchback,First Owner,40562.0,U2 CRDi Diesel Engine 
Automatic,Hyundai Creta,2021.0,Bangalore,Petrol,SUV,Second Owner,26500.0,1.4 L Turbo GDi Petrol
Automatic,Hyundai Venue,2019.0,Bangalore,Petrol,SUV,First Owner,20000.0,
Automatic,Mahindra XUV500,2016.0,Bangalore,Diesel,SUV,First Owner,58600.0,mHawk Diesel Engine
Automatic,Hyundai Venue,2019.0,Bangalore,Petrol,SUV,First Owner,20000.0,
Automatic,Volkswagen T-Roc,2020.0,Bangalore,Petrol,SUV,First Owner,42050.0,1.5 L TSI EVO with ACT
Automatic,Maruti Celerio,2015.0,Bangalore,Petrol,Hatchback,First Owner,65017.0,K10B Engine
Automatic,BMW 3 Series,2008.0,Bangalore,Diesel,Sedan,Second Owner,80000.0,In-Line Engine
Automatic,Jeep Compass,2021.0,Bangalore,Petrol,SUV,First Owner,30000.0,1.4L MultiAir Petrol
Automatic,Kia Seltos,2020.0,Bangalore,Petrol,SUV,First Owner,20000.0,Smartstream G1.4
Automatic,Skoda Superb,2014.0,Bangalore,Diesel,Sedan,First Owner,36349.0,Turbocharged Diesel Engin
Manual,Hyundai i10,2009.0,Bangalore,Petrol,Hatchback,Third Owner,80000.0,DOHC Engine
Manual,Renault Duster,2014.0,Bangalore,Petrol,SUV,Second Owner,83394.0,K4M Petrol Engine
Automatic,Audi Q5,2016.0,Bangalore,Diesel,SUV,Second Owner,30000.0,TDI Quattro Engine 
Manual,Hyundai i10,2009.0,Bangalore,Petrol,Hatchback,Third Owner,80000.0,DOHC Engine
Manual,Maruti Alto K10,2017.0,Bangalore,Petrol,Hatchback,First Owner,52204.0,K10C
Manual,Hyundai i20,2012.0,Bangalore,Petrol,Hatchback,Third Owner,110000.0,In-Line Engine
Automatic,Ford Endeavour,2017.0,Bangalore,Diesel,SUV,First Owner,89000.0,Diesel Engine
Manual,Maruti Alto 800,2014.0,Bangalore,Petrol,Hatchback,Second Owner,29813.0,F8D Petrol Engine
Manual,Ford Figo,2018.0,Bangalore,Petrol,Hatchback,First Owner,30000.0,Ti-VCT Petrol Engine
Automatic,Maruti Ignis,2020.0,Bangalore,Petrol,Hatchback,First Owner,13345.0,1.2-Litre VVT Petrol Engine
Automatic,Hyundai Alcazar,2022.0,Bangalore,Diesel,SUV,First Owner,17100.0,1.5 l diesel CRDi engine
Manual,Hyundai Grand i10,2014.0,Bangalore,Petrol,Hatchback,First Owner,75000.0,Kappa VTVT Petrol Engine
Manual,Hyundai i10,2011.0,Bangalore,Petrol,Hatchback,Second Owner,75523.0,DOHC Kappa2 Engine
Manual,Mahindra XUV500,2015.0,Bangalore,Diesel,SUV,First Owner,47000.0,mHawk Diesel Engine
Manual,Tata Harrier,2022.0,Bangalore,Diesel,SUV,First Owner,36500.0,Kryotec 2.0 L Turbocharged Engine
Manual,Renault Triber,2020.0,Bangalore,Petrol,MUV,First Owner,28253.0,
Manual,Hyundai Creta,2016.0,Bangalore,Diesel,SUV,First Owner,50000.0,U2 CRDI VGT Engine
Manual,Hyundai i10,2010.0,Bangalore,Petrol,Hatchback,Second Owner,90000.0,Kappa Petrol Engine
Automatic,BMW X5,2016.0,Bangalore,Diesel,SUV,Second Owner,70000.0,Diesel Engine
Manual,Hyundai i20,2016.0,Bangalore,Petrol,Hatchback,First Owner,52571.0,Kappa VTVT Petrol Engine
Automatic,BMW 3 Series,2010.0,Bangalore,Diesel,Sedan,Second Owner,70000.0,In-Line Engine
Manual,Honda City,2015.0,Bangalore,Petrol,Sedan,First Owner,61993.0,i VTEC Engine
Automatic,Hyundai Tucson,2017.0,Bangalore,Diesel,SUV,First Owner,57000.0,e- VGT R 2.0 Diesel
Manual,Toyota Fortuner,2021.0,Bangalore,Diesel,SUV,Second Owner,80000.0,1-GD FTV Engine
Manual,Hyundai i20,2013.0,Bangalore,Petrol,Hatchback,First Owner,36359.0,Kappa VTVT Petrol Engine
Manual,Tata Harrier,2019.0,Bangalore,Diesel,SUV,Second Owner,70000.0,Kryotec 2.0LTurbocharged Engine
Automatic,MG Hector,2022.0,Bangalore,Petrol,SUV,First Owner,7500.0,1.5 L Turbocharged Intercooled
