transmission,model,Year of Manufacture,City,ft,bt,Ownership,Kms Driven,Engine Type,price
0,103,2022.0,0,1,7,1,6000.0,114,3875000.0
1,144,2018.0,0,1,7,1,59889.0,337,985000.0
0,98,2019.0,0,1,8,3,11000.0,236,3775000.0
1,90,2019.0,0,4,2,1,38500.0,320,825000.0
0,285,2013.0,0,1,7,3,120000.0,205,1625000.0
0,14,2016.0,0,1,8,3,39157.0,407,2198000.0
1,289,2008.0,0,1,4,1,162000.0,278,825000.0
0,12,2013.0,0,4,2,3,89900.0,344,1175000.0
0,157,2017.0,0,4,2,1,58666.0,455,656000.0
0,180,2018.0,0,4,8,1,54137.0,291,612000.0
1,285,2011.0,0,1,7,3,180000.0,178,1195000.0
1,238,2019.0,0,4,2,1,21997.0,344,436000.00000000006
0,180,2020.0,0,4,8,3,40394.0,291,721000.0
0,20,2015.0,0,1,7,3,49000.0,502,1750000.0
1,50,2017.0,0,4,7,1,80390.0,396,620000.0
0,197,2018.0,0,1,8,1,52721.0,278,3299000.0
0,157,2017.0,0,4,2,1,55127.0,455,643000.0
1,50,2018.0,0,1,7,3,35922.0,380,822000.0000000001
0,59,2019.0,0,4,8,1,16883.0,476,838000.0000000001
1,236,2013.0,0,1,7,3,86000.0,465,625000.0
0,248,2016.0,0,4,8,1,88000.0,106,1125000.0
0,101,2020.0,0,1,7,1,34000.0,124,2545000.0
1,244,2013.0,0,1,2,1,110000.0,400,345000.0
1,236,2020.0,0,1,7,1,55398.0,89,999000.0
0,50,2015.0,0,4,7,3,54000.0,396,675000.0
1,300,2019.0,0,4,2,1,25829.0,332,875000.0
1,160,2016.0,0,4,2,1,36913.0,293,485000.0
1,90,2018.0,0,1,2,1,34000.0,418,775000.0
0,179,2018.0,0,4,2,3,42162.0,287,655000.0
0,160,2016.0,0,4,2,3,48041.0,293,525000.0
1,238,2020.0,0,4,2,4,43285.0,344,442000.0
1,90,2012.0,0,4,2,1,44326.0,320,476000.0
0,300,2017.0,0,4,2,3,62984.0,393,865000.0
1,179,2010.0,0,4,2,3,99276.0,287,338000.0
0,73,2018.0,0,4,7,3,42812.0,450,1299000.0
1,179,2013.0,0,4,2,1,57770.0,287,492000.0
0,77,2017.0,0,4,2,4,42220.0,320,544000.0
0,147,2016.0,0,1,7,1,66977.0,498,1365000.0
1,85,2021.0,0,4,7,1,29916.0,314,1085000.0
0,250,2022.0,0,4,8,1,10066.0,13,1488000.0
0,249,2019.0,0,4,8,3,39243.0,344,939000.0
0,249,2017.0,0,4,8,3,36309.0,344,888000.0000000001
0,160,2014.0,0,4,2,1,69408.0,293,425000.0
0,59,2019.0,0,4,8,3,12064.0,476,818000.0
0,200,2013.0,0,1,8,1,74000.0,179,1944000.0
0,179,2018.0,0,4,2,1,18000.0,449,695000.0
0,305,2010.0,0,4,8,1,59000.0,269,475000.0
1,77,2018.0,0,4,2,1,17190.0,320,551000.0
1,184,2013.0,0,4,2,1,58323.0,289,352000.0
1,63,2015.0,0,4,8,1,40765.0,469,600000.0
0,160,2016.0,0,4,2,3,58198.0,296,479000.0
1,77,2019.0,0,4,2,1,42976.0,320,559000.0
1,180,2012.0,0,4,8,1,44074.0,508,409000.0
0,184,2017.0,0,4,2,1,21000.0,295,539000.0
1,179,2021.0,0,4,2,1,14089.0,287,737000.0
1,63,2014.0,0,1,8,3,94378.0,468,526000.0
0,147,2016.0,0,1,7,1,71000.0,498,1350000.0
1,285,2018.0,0,1,7,1,174000.0,9,3194000.0
0,77,2016.0,0,4,2,3,58000.0,320,585000.0
0,7,2014.0,0,1,7,3,113000.0,381,1495000.0
0,312,2010.0,0,1,7,3,170402.0,404,1090000.0
0,3,2016.0,0,1,8,3,30000.0,381,2100000.0
1,180,2014.0,0,4,8,1,59000.0,291,590000.0
1,147,2021.0,0,1,7,1,25883.0,499,1899000.0
1,302,2021.0,0,4,7,1,32746.0,23,1545000.0
0,248,2017.0,0,4,8,1,35038.0,344,1895000.0
1,55,2018.0,0,4,2,4,38995.0,50,540000.0
1,179,2013.0,0,4,2,1,61102.0,287,491000.0
1,252,2012.0,0,1,7,3,132000.0,236,625000.0
1,176,2021.0,0,4,2,1,52288.0,296,436000.00000000006
0,66,2017.0,0,4,2,1,69054.0,476,616000.0
1,236,2015.0,0,4,7,1,67000.0,309,675000.0
1,180,2015.0,0,1,8,3,51745.0,220,533000.0
0,2,2015.0,0,4,0,1,22000.0,391,3495000.0000000005
1,77,2017.0,0,4,2,3,11268.0,320,626000.0
1,273,2020.0,0,4,2,1,24357.0,38,632000.0
1,290,2016.0,0,1,4,3,157000.0,111,1775000.0
1,63,2018.0,0,4,8,1,9982.0,278,1000000.0
0,1,2020.0,0,1,8,1,22000.0,382,2875000.0
1,85,2020.0,0,4,7,1,27000.0,314,1085000.0
0,14,2017.0,0,1,8,3,68000.0,407,2275000.0
0,85,2022.0,0,4,7,1,19000.0,314,1365000.0
0,20,2012.0,0,1,7,3,41000.0,502,1550000.0
0,20,2018.0,0,1,7,1,49000.0,236,3025000.0
0,17,2018.0,0,1,8,3,45000.0,414,4275000.0
0,23,2016.0,0,1,7,3,75000.0,506,4450000.0
1,160,2015.0,0,4,2,1,39613.0,296,483000.0
0,63,2018.0,0,4,8,3,68906.0,469,1007000.0
0,236,2019.0,0,4,7,1,33000.0,508,995000.0
1,180,2016.0,0,4,8,1,71423.0,508,573000.0
1,180,2015.0,0,4,8,1,17811.0,508,658000.0
0,73,2017.0,0,1,7,1,79000.0,421,1245000.0
0,157,2020.0,0,4,2,1,9724.0,455,906000.0
1,73,2019.0,0,4,7,1,75000.0,450,1195000.0
1,295,2021.0,0,4,8,1,20754.0,70,1031000.0
1,77,2015.0,0,4,2,4,50510.0,320,413000.0
1,77,2019.0,0,4,2,1,35000.0,320,624000.0
1,86,2011.0,0,1,8,4,85000.0,236,465000.00000000006
0,63,2018.0,0,4,8,1,48979.0,469,1050000.0
1,265,2017.0,0,4,7,3,46000.0,354,725000.0
0,144,2020.0,0,1,7,1,9000.0,494,1800000.0
1,49,2018.0,0,1,8,3,70000.0,380,650000.0
0,308,2014.0,0,1,8,3,78000.0,398,1395000.0
1,59,2021.0,0,1,8,1,1500.0,471,865000.0
0,17,2011.0,0,1,8,3,70000.0,278,1423000.0
0,121,2023.0,0,1,7,1,8187.0,225,4399000.0
1,180,2014.0,0,4,8,4,81777.0,508,475000.0
0,63,2016.0,0,4,8,3,48698.0,469,747000.0
0,107,2020.0,0,4,7,1,21000.0,371,1590000.0
0,77,2016.0,0,4,2,3,67771.0,320,520000.0
1,180,2015.0,0,4,8,1,60386.0,508,530000.0
0,273,2018.0,0,4,2,1,48928.0,355,595000.0
1,90,2010.0,0,4,2,1,111374.0,320,312000.0
1,73,2017.0,0,4,7,3,33000.0,450,920000.0
1,155,2021.0,0,4,2,1,40561.0,251,403000.0
1,179,2013.0,0,4,2,1,92529.0,287,415000.00000000006
0,59,2019.0,0,4,8,1,42000.0,476,850000.0
0,106,2020.0,0,1,4,1,55342.0,210,2700000.0
1,50,2021.0,0,1,7,1,51000.0,380,1145000.0
1,147,2018.0,0,1,7,3,37000.0,499,1275000.0
1,66,2017.0,0,4,2,1,36468.0,476,645000.0
1,146,2022.0,0,4,7,1,11250.0,53,1440000.0
1,165,2019.0,0,4,4,1,36000.0,300,1145000.0
0,85,2019.0,0,4,7,1,36368.0,508,1225000.0
0,211,2016.0,0,1,8,3,36000.0,432,5275000.0
0,21,2017.0,0,1,7,4,62000.0,505,3800000.0
1,63,2018.0,0,4,8,1,39466.0,469,888000.0000000001
1,179,2014.0,0,4,2,1,49570.0,287,507000.0
0,305,2018.0,0,4,8,3,23382.0,393,1020000.0
1,176,2021.0,0,4,2,1,42954.0,292,472000.0
1,179,2014.0,0,4,2,1,68306.0,287,471000.0
1,90,2018.0,0,1,2,1,54961.0,418,821000.0000000001
1,179,2015.0,0,4,2,1,91087.0,287,510000.0
1,238,2022.0,0,4,2,1,16691.0,344,599000.0
1,184,2016.0,0,4,2,1,80190.0,295,402000.0
1,73,2017.0,0,4,7,1,54639.0,450,1002000.0
1,178,2020.0,0,4,7,1,50225.0,305,975000.0
1,90,2018.0,0,1,2,1,68017.0,418,795000.0
1,300,2016.0,0,4,2,1,87912.0,332,550000.0
1,265,2021.0,0,4,7,1,2045.0,60,1298000.0
1,178,2021.0,0,4,7,1,24305.0,305,1085000.0
0,263,2015.0,0,4,2,1,2500.0,345,335000.0
0,265,2020.0,0,4,7,1,31489.0,60,1109000.0
1,43,2014.0,0,4,8,3,82268.0,257,350000.0
1,50,2019.0,0,1,7,1,73834.0,380,894999.9999999999
1,285,2014.0,0,1,7,3,73000.0,205,1775000.0
1,160,2017.0,0,4,2,1,41436.0,293,466000.0
1,63,2019.0,0,4,8,3,19024.0,469,924000.0
1,149,2016.0,0,1,4,1,73000.0,498,775000.0
1,155,2020.0,0,4,2,3,73140.0,251,378000.0
1,179,2015.0,0,4,2,1,29289.0,287,555000.0
0,63,2016.0,0,4,8,1,39116.0,469,899000.0
1,155,2019.0,0,4,2,1,41958.0,251,370000.0
1,69,2018.0,0,4,7,1,26626.0,476,810000.0
0,66,2019.0,0,4,2,1,63460.0,476,774000.0
1,81,2019.0,0,4,2,1,35711.0,30,530000.0
1,69,2020.0,0,4,7,1,20057.0,473,945000.0
1,253,2020.0,0,4,2,1,25396.0,47,880000.0000000001
1,90,2013.0,0,1,2,1,88000.0,418,525000.0
0,101,2019.0,0,4,7,1,62000.0,66,1605000.0
1,63,2020.0,0,4,8,1,35993.0,458,1170000.0
0,77,2017.0,0,4,2,1,34000.0,320,650000.0
1,69,2019.0,0,4,7,1,51338.0,476,875000.0
1,77,2015.0,0,4,2,1,74280.0,320,500000.0
0,115,2019.0,0,1,7,1,82000.0,508,9500000.0
0,4,2015.0,0,1,8,1,63773.0,381,2195000.0
1,77,2015.0,0,4,2,3,101356.0,320,395000.0
1,155,2020.0,0,0,2,1,75591.0,251,421000.0
0,73,2017.0,0,4,7,1,72208.0,450,1300000.0
1,179,2014.0,0,4,2,1,51489.0,287,490000.00000000006
0,172,2017.0,0,4,2,1,74643.0,51,520000.0
0,23,2008.0,0,1,7,3,44000.0,236,1450000.0
0,66,2017.0,0,4,2,1,79575.0,476,616000.0
1,69,2018.0,0,4,7,1,54097.0,476,825000.0
1,63,2018.0,0,4,8,3,35288.0,469,838000.0000000001
0,179,2019.0,0,4,2,1,70314.0,287,618000.0
1,236,2017.0,0,1,7,3,96939.0,465,875000.0
1,226,2010.0,0,4,2,3,44824.0,269,390000.0
1,289,2014.0,0,1,4,3,169219.0,159,1349000.0
1,63,2012.0,0,4,8,3,92673.0,365,500000.0
0,203,2014.0,0,1,7,3,79000.0,431,4100000.0
0,101,2020.0,0,1,7,1,20183.0,124,2190000.0
0,295,2018.0,0,4,8,1,77130.0,70,795000.0
0,50,2017.0,0,4,7,1,45000.0,396,775000.0
0,157,2017.0,0,4,2,3,27025.0,59,745000.0
1,107,2019.0,0,4,7,1,105153.0,508,1125000.0
1,147,2016.0,0,1,7,1,70509.0,498,1030000.0
0,238,2020.0,0,4,2,3,11662.0,344,582000.0
1,77,2018.0,0,4,2,1,36176.0,320,615000.0
0,66,2015.0,0,4,2,3,74342.0,476,560000.0
1,157,2016.0,0,1,2,1,89837.0,220,710000.0
1,179,2015.0,0,4,2,3,11912.0,449,535000.0
1,179,2012.0,0,1,2,3,55544.0,220,446000.0
0,50,2019.0,0,4,7,1,27027.0,396,1018000.0
0,63,2017.0,0,4,8,1,56363.0,469,840000.0
1,86,2016.0,0,4,8,3,42094.0,450,654000.0
1,107,2019.0,0,4,7,1,114912.0,508,1125000.0
1,179,2016.0,0,4,2,1,33649.0,449,585000.0
1,107,2019.0,0,4,7,1,54000.0,362,1250000.0
1,87,2014.0,0,4,8,3,69798.0,320,475000.0
1,89,2010.0,0,4,2,3,69000.0,228,310000.0
0,101,2020.0,0,1,7,1,49001.0,124,2395000.0
0,86,2017.0,0,1,8,3,57527.0,426,1085000.0
1,47,2015.0,0,1,2,1,57367.0,334,475000.0
1,184,2015.0,0,4,2,3,50936.0,295,406000.0
1,90,2022.0,0,1,2,1,23237.0,86,1084000.0
0,160,2016.0,0,4,2,1,66596.0,293,445000.0
1,147,2016.0,0,1,7,1,36613.0,498,1382000.0
1,180,2015.0,0,4,8,1,74104.0,291,601000.0
1,81,2022.0,0,4,2,1,6777.0,29,594000.0
1,50,2020.0,0,4,7,1,14560.0,396,960000.0
0,176,2021.0,0,4,2,1,27000.0,292,575000.0
0,63,2015.0,0,4,8,3,90333.0,469,729000.0
0,218,2019.0,0,4,7,1,50114.0,344,3575000.0
1,183,2017.0,0,1,7,1,69301.0,218,962000.0
1,238,2021.0,0,4,2,1,71306.0,344,450000.0
0,157,2019.0,0,4,2,1,35135.0,59,849000.0
1,175,2016.0,0,1,2,1,40561.0,221,535000.0
1,90,2012.0,0,4,2,1,90000.0,278,435000.0
0,66,2017.0,0,4,2,3,60000.0,476,685000.0
0,21,2019.0,0,1,7,1,30000.0,412,5750000.0
1,236,2016.0,0,1,7,3,60000.0,465,730000.0
1,147,2015.0,0,1,7,1,102000.0,498,1145000.0
1,184,2015.0,0,4,2,3,41659.0,289,410000.0
0,3,2009.0,0,4,8,3,85300.0,278,1075000.0
0,86,2017.0,0,4,8,3,32483.0,450,849000.0
1,90,2018.0,0,4,2,1,34376.0,320,749000.0
1,73,2017.0,0,4,7,1,36540.0,450,872000.0000000001
1,90,2011.0,0,4,2,3,148625.0,278,306000.0
0,4,2013.0,0,1,8,2,81000.0,431,995000.0
1,89,2013.0,0,4,2,3,5609.0,265,348000.0
0,1,2019.0,0,4,8,1,37000.0,391,2425000.0
1,71,2021.0,0,4,7,1,6000.0,131,1725000.0
1,237,2013.0,0,1,8,1,61000.0,375,500000.0
0,238,2018.0,0,4,2,3,30285.0,344,417000.0
1,305,2011.0,0,1,8,3,80153.0,203,399000.0
0,77,2016.0,0,4,2,1,49641.0,320,541000.0
0,157,2016.0,0,4,2,3,83075.0,455,568000.0
1,157,2018.0,0,4,2,1,45677.0,455,730000.0
1,160,2017.0,0,4,2,1,81849.0,293,446000.0
1,179,2015.0,0,1,2,3,67791.0,220,638000.0
0,313,2018.0,0,1,7,1,38100.0,122,3750000.0
1,90,2018.0,0,4,2,1,65015.0,320,694000.0
0,206,2018.0,0,1,7,3,47000.0,236,4700000.0
1,179,2014.0,0,4,2,1,62029.0,287,493000.0
1,179,2017.0,0,1,2,1,94926.0,220,637000.0
1,90,2012.0,0,4,2,1,119487.0,278,365000.0
1,126,2019.0,0,1,7,1,126000.0,328,825000.0
1,296,2017.0,0,1,8,1,70332.0,381,645000.0
1,172,2017.0,0,4,2,1,37950.0,51,585000.0
1,90,2019.0,0,4,2,1,38100.0,320,835000.0
1,285,2012.0,0,1,7,3,156039.0,205,1648999.9999999998
1,177,2008.0,0,4,8,3,56000.0,278,330000.0
1,61,2014.0,0,4,2,3,42000.0,475,425000.0
1,90,2018.0,0,1,2,1,93003.0,418,750000.0
0,77,2017.0,0,4,2,3,36000.0,320,675000.0
0,108,2022.0,1,4,7,1,20000.0,369,1150000.0
1,164,2015.0,1,4,5,1,20687.0,278,415000.00000000006
1,225,2021.0,1,4,7,1,30000.0,263,750000.0
1,89,2015.0,1,4,2,1,59247.0,265,398000.0
1,66,2015.0,1,4,2,1,50000.0,476,550000.0
0,200,2016.0,1,1,8,1,20000.0,276,3300000.0
0,160,2016.0,1,4,2,1,29403.0,293,453000.0
1,153,2010.0,1,4,2,1,42700.0,289,285000.0
0,21,2018.0,1,1,7,1,23001.0,412,5000000.0
0,50,2018.0,1,4,7,3,25925.0,396,821000.0000000001
1,90,2021.0,1,4,2,1,20000.0,46,865000.0
0,66,2019.0,1,4,2,1,17711.0,476,792000.0
0,14,2020.0,1,1,8,1,50000.0,407,4050000.0
1,179,2018.0,1,4,2,1,50000.0,449,610000.0
1,77,2018.0,1,4,2,3,51125.0,320,511000.00000000006
1,265,2019.0,1,1,7,1,69233.0,352,710000.0
1,101,2017.0,1,1,7,1,65000.0,130,1225000.0
1,63,2014.0,1,4,8,1,93281.0,469,570000.0
1,285,2022.0,1,1,7,1,18000.0,152,3900000.0
1,59,2014.0,1,4,8,3,99225.0,476,375000.0
1,74,2016.0,1,4,2,1,30000.0,318,275000.0
1,59,2014.0,1,4,8,1,30602.0,476,429000.0
1,179,2018.0,1,1,2,1,64500.0,220,675000.0
1,63,2017.0,1,4,8,3,46809.0,469,793000.0
0,73,2019.0,1,1,7,1,20000.0,421,1425000.0
0,85,2020.0,1,4,7,1,21725.0,508,1036000.0
1,63,2016.0,1,4,8,1,80000.0,469,800000.0
0,4,2013.0,1,4,8,3,88000.0,391,1400000.0
0,63,2019.0,1,4,8,3,30360.0,469,1088000.0
0,157,2017.0,1,4,2,3,70000.0,455,590000.0
1,77,2016.0,1,4,2,1,16246.0,320,568000.0
0,160,2017.0,1,4,2,3,55000.0,294,400000.0
0,290,2022.0,1,4,4,1,13000.0,150,2790000.0
0,160,2016.0,1,4,2,3,71638.0,293,422000.0
1,59,2015.0,1,4,8,1,46105.0,476,450000.0
1,69,2017.0,1,4,7,1,60000.0,476,650000.0
1,66,2017.0,1,1,2,1,80000.0,471,575000.0
0,196,2015.0,1,1,2,1,58000.0,282,1950000.0
1,167,2008.0,1,4,8,3,70000.0,278,150000.0
0,157,2017.0,1,4,2,1,61764.0,455,702000.0
1,133,2016.0,1,4,7,3,36018.0,487,448000.00000000006
0,236,2016.0,1,1,7,1,150000.0,465,650000.0
1,78,2022.0,1,4,2,1,17197.0,18,801000.0
0,63,2016.0,1,4,8,3,62931.0,469,772000.0
1,281,2013.0,1,4,8,3,90000.0,227,500000.0
1,146,2021.0,1,4,7,1,21023.0,53,1103000.0
1,281,2018.0,1,1,8,1,43000.0,205,1490000.0
0,180,2017.0,1,1,8,1,110505.0,220,627000.0
1,86,2018.0,1,4,8,1,78892.0,450,835000.0
0,4,2015.0,1,1,8,1,59000.0,267,2090000.0
1,32,2014.0,1,4,8,1,90058.0,360,350000.0
0,9,2015.0,1,1,7,1,69000.0,386,2100000.0
1,69,2019.0,1,1,7,1,67000.0,471,925000.0
1,163,2017.0,1,1,8,1,80000.0,216,850000.0
1,163,2017.0,1,1,8,1,80000.0,216,850000.0
0,10,2020.0,1,1,7,1,57000.0,431,6600000.0
1,290,2018.0,1,1,4,1,800000.0,111,2150000.0
0,197,2018.0,1,1,8,1,5500000.0,278,3600000.0
0,19,2017.0,1,1,8,1,27000.0,236,6800000.0
1,265,2018.0,1,4,7,1,38334.0,354,707000.0
1,300,2019.0,1,4,2,1,36992.0,21,680000.0
0,21,2016.0,1,1,7,3,50000.0,507,3750000.0
0,264,2021.0,1,1,7,1,34596.0,321,2039000.0
1,37,2019.0,1,4,2,1,84564.0,338,401000.0
0,200,2013.0,1,1,8,3,60001.0,276,2150000.0
1,81,2018.0,1,4,2,1,23462.0,30,505000.0
0,302,2022.0,1,4,7,1,13000.0,23,1599000.0
0,59,2019.0,1,1,8,1,54658.0,471,830000.0000000001
1,146,2020.0,1,4,7,1,34164.0,53,1036000.0
1,107,2022.0,1,4,7,1,10000.0,362,1595000.0
1,45,2010.0,1,4,2,4,70000.0,253,100000.0
1,85,2020.0,1,4,7,1,37000.0,315,825000.0
0,148,2022.0,1,1,7,1,20000.0,141,2900000.0
1,157,2016.0,1,4,2,1,53967.0,455,550000.0
1,89,2011.0,1,4,2,1,52700.0,319,299000.0
0,265,2018.0,1,4,7,1,60000.0,354,750000.0
1,157,2016.0,1,4,2,1,53967.0,455,550000.0
1,59,2014.0,1,4,8,3,99225.0,476,375000.0
1,43,2011.0,1,4,8,3,60000.0,257,265000.0
0,66,2020.0,1,4,2,1,48220.0,43,808000.0
1,66,2016.0,1,4,2,1,72024.0,476,542000.0
0,59,2016.0,1,4,8,1,80000.0,476,529000.0
1,300,2017.0,1,4,2,1,78735.0,332,684000.0
1,50,2018.0,1,1,7,3,72955.0,380,813000.0000000001
0,163,2015.0,1,4,8,1,40000.0,478,650000.0
1,101,2021.0,1,4,7,1,14037.0,67,1802000.0
1,90,2019.0,1,4,2,1,29000.0,320,745000.0
1,157,2017.0,1,4,2,1,69864.0,455,619000.0
1,87,2019.0,1,4,8,1,35739.0,52,650000.0
0,66,2016.0,1,4,2,3,120000.0,476,500000.0
1,165,2019.0,1,1,4,1,18000.0,207,1145000.0
1,256,2019.0,1,1,7,1,21000.0,321,1600000.0
1,157,2016.0,1,4,2,1,70404.0,455,540000.0
1,305,2015.0,1,4,8,1,63000.0,332,675000.0
1,296,2017.0,1,4,8,3,88000.0,332,510000.0
1,63,2017.0,1,4,8,1,65000.0,469,830000.0000000001
0,111,2017.0,1,1,7,3,30000.0,357,3900000.0
0,63,2012.0,1,4,8,1,71423.0,365,510000.0
0,186,2019.0,1,4,4,1,80000.0,305,1200000.0
1,63,2017.0,1,4,8,1,85759.0,469,766000.0
1,81,2019.0,1,4,2,1,24422.0,30,449000.0
1,86,2017.0,1,4,8,2,90000.0,450,750000.0
1,61,2012.0,1,4,2,3,67091.0,475,317000.0
1,122,2020.0,1,4,7,1,72787.0,508,1560000.0
1,51,2017.0,1,1,7,3,120000.0,236,1900000.0
1,77,2017.0,1,4,2,1,90142.0,320,522000.0
1,90,2015.0,1,4,2,1,150000.0,320,500000.0
1,55,2018.0,1,4,2,1,33256.0,50,627000.0
0,157,2018.0,1,4,2,1,70027.0,455,687000.0
1,83,2007.0,1,1,8,4,120000.0,278,205000.0
1,300,2015.0,1,4,2,3,60000.0,332,525000.0
1,179,2017.0,1,1,2,1,73686.0,220,620000.0
1,142,2018.0,1,1,7,3,44000.0,492,825000.0
1,179,2015.0,1,4,2,1,75581.0,449,530000.0
0,210,2015.0,1,1,7,1,58000.0,236,3600000.0
0,1,2015.0,1,1,8,3,50000.0,382,1950000.0
1,142,2015.0,1,1,7,1,100000.0,492,650000.0
1,163,2017.0,1,1,8,1,108902.0,213,650000.0
1,296,2016.0,1,1,8,1,100425.0,381,570000.0
1,87,2016.0,1,4,8,3,70887.0,320,458000.0
1,63,2016.0,1,4,8,3,114981.0,469,577000.0
1,69,2018.0,1,4,7,1,45000.0,476,900000.0
1,78,2021.0,1,4,2,1,45416.0,35,649000.0
1,90,2016.0,1,4,2,1,119468.0,320,549000.0
0,305,2015.0,1,1,8,4,100000.0,381,650000.0
1,180,2017.0,1,4,8,1,119975.0,508,514000.0
0,14,2017.0,1,4,8,1,19000.0,408,3900000.0
1,77,2016.0,1,4,2,3,64906.0,2,456000.0
1,157,2016.0,1,4,2,3,81484.0,455,502000.0
1,180,2018.0,1,4,8,1,45067.0,291,685000.0
0,211,2018.0,1,4,8,1,68000.0,435,11000000.0
1,66,2016.0,1,4,2,1,65768.0,476,580000.0
1,66,2016.0,1,4,2,3,61000.0,476,530000.0
0,211,2009.0,1,1,8,4,50000.0,433,1700000.0
0,17,2018.0,1,1,8,1,23000.0,236,4375000.0
0,19,2018.0,1,1,8,1,17000.0,236,8200000.0
0,160,2017.0,1,4,2,1,102958.0,293,420000.0
1,281,2013.0,1,1,8,1,62900.0,363,775000.0
1,184,2015.0,1,4,2,3,65076.0,295,395000.0
1,157,2016.0,1,4,2,1,75876.0,455,533000.0
1,90,2015.0,1,4,2,1,98911.0,320,547000.0
1,160,2015.0,1,4,2,1,45000.0,293,395000.0
0,86,2017.0,1,1,8,1,76089.0,427,908000.0
1,77,2017.0,1,4,2,3,54505.0,320,521000.0
0,1,2019.0,1,1,8,1,24000.0,381,2290000.0
1,180,2016.0,1,4,8,1,96573.0,508,507000.0
0,107,2019.0,1,1,7,1,30000.0,73,1625000.0
1,77,2016.0,1,4,2,3,63720.0,320,528000.0
1,155,2021.0,1,4,2,1,14411.0,251,435000.0
0,302,2022.0,1,4,7,1,11000.0,23,1490000.0
0,246,2022.0,1,4,7,1,21000.0,81,1789999.9999999998
1,69,2017.0,1,4,7,1,34392.0,476,625000.0
1,78,2022.0,1,4,2,1,20000.0,35,690000.0
1,108,2022.0,1,4,7,1,10000.0,369,1350000.0
0,119,2022.0,1,4,7,1,20000.0,452,1550000.0
0,287,2019.0,1,4,2,1,47000.0,344,790000.0
1,156,2014.0,1,4,2,3,60333.0,289,270000.0
1,77,2014.0,1,1,2,1,81058.0,422,365000.0
1,65,2010.0,1,4,8,3,51800.0,273,425000.0
1,77,2016.0,1,4,2,3,32797.0,320,528000.0
1,77,2016.0,1,4,2,1,69731.0,320,511000.00000000006
1,63,2016.0,1,4,8,3,54000.0,469,625000.0
1,227,2016.0,1,4,2,3,110267.0,269,327000.0
1,133,2018.0,1,4,7,1,31767.0,487,505000.0
1,69,2018.0,1,4,7,3,45677.0,476,640000.0
1,160,2017.0,1,4,2,1,66656.0,296,449000.0
1,59,2019.0,1,1,8,1,27000.0,471,725000.0
1,238,2021.0,1,4,2,1,37004.0,344,495000.0
1,89,2011.0,1,4,2,3,85274.0,319,271000.0
1,73,2017.0,1,1,7,3,60000.0,421,940000.0
1,63,2017.0,1,4,8,1,42000.0,473,799000.0
1,73,2022.0,1,1,7,1,20000.0,79,1850000.0
0,105,2022.0,1,1,4,1,30000.0,91,2000000.0
0,200,2017.0,1,1,8,1,25000.0,197,4500000.0
1,147,2014.0,1,1,7,4,80000.0,498,700000.0
1,86,2015.0,1,4,8,3,60000.0,450,585000.0
1,256,2022.0,1,1,7,1,20000.0,321,2050000.0
0,122,2022.0,1,4,7,1,20000.0,78,1990000.0
0,122,2022.0,1,4,7,1,20000.0,78,1990000.0
1,73,2020.0,1,1,7,3,55037.0,79,1445000.0
1,81,2018.0,1,4,2,1,65607.0,30,451000.0
1,166,2021.0,1,0,4,1,70000.0,302,1100000.0
1,90,2016.0,1,4,2,1,74777.0,320,631000.0
1,282,2012.0,1,4,8,3,102392.0,344,411000.00000000006
1,249,2015.0,1,1,8,1,90210.0,400,500000.0
1,180,2014.0,1,4,8,1,62373.0,508,488000.0
1,278,2015.0,1,1,8,1,80000.0,348,460000.0
0,160,2018.0,1,4,2,3,25219.0,296,514000.0
1,179,2014.0,1,1,2,4,64409.0,220,508000.0
1,265,2018.0,1,1,7,1,52000.0,352,865000.0
0,163,2018.0,1,4,8,3,30000.0,479,855000.0000000001
0,211,2020.0,1,1,8,1,14000.0,325,11800000.0
1,85,2019.0,1,1,7,1,48574.0,508,925000.0
0,63,2012.0,1,4,8,1,71423.0,278,510000.0
0,200,2020.0,1,1,8,1,30000.0,197,5700000.0
1,184,2013.0,1,4,2,1,75498.0,289,350000.0
1,63,2017.0,1,4,8,1,95963.0,469,630000.0
1,184,2015.0,1,4,2,1,46613.0,295,410000.0
1,69,2017.0,1,4,7,1,30000.0,476,725000.0
1,59,2015.0,1,4,8,1,18722.0,476,466000.0
0,107,2023.0,1,4,7,1,5593.0,371,1864000.0
0,7,2017.0,1,1,7,1,40000.0,385,2700000.0
1,160,2021.0,1,4,2,1,20875.0,296,503000.0
1,238,2018.0,1,4,2,3,46436.0,344,309000.0
0,63,2016.0,1,4,8,1,127672.0,469,640000.0
1,85,2021.0,1,4,7,1,12814.0,315,841000.0
1,264,2022.0,1,1,7,1,26000.0,321,1890000.0
1,89,2011.0,1,4,2,1,45851.0,319,288000.0
1,85,2021.0,1,4,7,1,36349.0,314,940000.0
0,300,2018.0,1,4,2,1,35000.0,393,844999.9999999999
0,264,2021.0,1,1,7,1,17059.0,321,2056000.0
0,23,2019.0,1,1,7,1,37000.0,413,7700000.0
1,184,2016.0,1,4,2,3,48163.0,295,400000.0
1,180,2013.0,1,4,8,4,40000.0,291,425000.0
1,260,2008.0,1,1,8,3,150000.0,278,200000.0
1,300,2020.0,1,4,2,1,20000.0,21,750000.0
0,73,2019.0,1,1,7,1,47000.0,421,1689999.9999999998
